# Flashcard Data Export — 2026-03-10T06:17:48.271Z
# front	back	category
base class	基底クラス (きていくらす)	oop
linked list	連結リスト (れんけつりすと)	data_structures_algorithms
heap	ヒープ (ひーぷ)	data_structures_algorithms
hash table	ハッシュテーブル (はっしゅてーぶる)	data_structures_algorithms
graph	グラフ (ぐらふ)	data_structures_algorithms
edge	辺 (へん)	data_structures_algorithms
deque	デック (でっく)	data_structures_algorithms
data structure	データ構造 (でーたこうぞう)	data_structures_algorithms
binary tree	二分木 (にぶんぎ)	data_structures_algorithms
binary search tree	二分探索木 (にぶんたんさくぼく)	data_structures_algorithms
algorithm	アルゴリズム (あるごりずむ)	data_structures_algorithms
static method	静的メソッド (せいてきめそっど)	oop
property	プロパティ (ぷろぱてぃ)	oop
polymorphism	多態性 (たたいせい)	oop
override	オーバーライド (おーばーらいど)	oop
overload	オーバーロード (おーばーろーど)	oop
interface	インターフェース (いんたーふぇーす)	oop
instance	インスタンス (いんすたんす)	oop
inheritance	継承 (けいしょう)	oop
implementation	実装 (じっそう)	oop
field	フィールド (ふぃーるど)	oop
encapsulation	カプセル化 (かぷせるか)	oop
derived class	派生クラス (はせいくらす)	oop
destructor	デストラクタ (ですとらくた)	oop
constructor	コンストラクタ (こんすとらくた)	oop
composition	コンポジション (こんぽじしょん)	oop
array	配列 (はいれつ)	programming_fundamentals
argument	実引数 (じつひきすう)	programming_fundamentals
boolean	真偽値 (しんぎち)	programming_fundamentals
conditional	条件分岐 (じょうけんぶんき)	programming_fundamentals
constant	定数 (ていすう)	programming_fundamentals
expression	式 (しき)	programming_fundamentals
function	関数 (かんすう)	programming_fundamentals
loop	ループ (るーぷ)	programming_fundamentals
method	メソッド (めそっど)	programming_fundamentals
module	モジュール (もじゅーる)	programming_fundamentals
namespace	名前空間 (なまえくうかん)	programming_fundamentals
number	数値 (すうち)	programming_fundamentals
object	オブジェクト (おぶじぇくと)	programming_fundamentals
operator	演算子 (えんざんし)	programming_fundamentals
package	パッケージ (ぱっけーじ)	programming_fundamentals
parameter	仮引数 (かりひきすう)	programming_fundamentals
return value	戻り値 (もどりち)	programming_fundamentals
statement	文 (ぶん)	programming_fundamentals
string	文字列 (もじれつ)	programming_fundamentals
variable	変数 (へんすう)	programming_fundamentals
abstraction	抽象化 (ちゅうしょうか)	oop
access modifier	アクセス修飾子 (あくせすしゅうしょくし)	oop
aggregation	集約 (しゅうやく)	oop
association	関連 (かんれん)	oop
stack	スタック (すたっく)	data_structures_algorithms
list	リスト (りすと)	data_structures_algorithms
map	マップ (まっぷ)	data_structures_algorithms
queue	キュー (きゅー)	data_structures_algorithms
searching	探索 (たんさく)	data_structures_algorithms
set	集合 (しゅうごう)	data_structures_algorithms
sorting	ソート (そーと)	data_structures_algorithms
